,numVotes
1440,10995
1441,53
1442,160
1443,12
1444,697
1445,520
1446,7562
1447,102
1448,970
1449,15
1450,10
1451,277
1452,271
1453,105
1454,860
1455,391
1456,643
1457,1083
1458,745
1459,16
1460,613
1461,131
1462,386
1463,684
1464,45
1465,4858
1466,891
1467,57
1468,19
1469,1508
1470,42
1471,642
1472,2073
1473,433
1474,286
1475,150457
1476,108
1477,652
1478,706
1479,48
1480,30542
1481,20
1482,1536
1483,464
1484,8751
1485,1696
1486,1576
1487,7
1488,1184
1489,187
1490,5997
1491,15
1492,317
1493,172
1494,126
1495,379
1496,211198
1497,241
1498,889
1499,20
1500,16809
1501,901
1502,69
1503,28
1504,1002
1505,97
1506,69
1507,15
1508,51
1509,94
1510,144
1511,561
1512,110
1513,961
1514,165
1515,22
1516,50
1517,61754
1518,2667
1519,38
1520,8139
1521,2440
1522,1267
1523,253
1524,3546
1525,158
1526,2992
1527,109
1528,202
1529,528
1530,37649
1531,3174
1532,19
1533,105
1534,259
1535,173
1536,134
1537,10243
1538,5611
1539,46
1540,30
1541,17
1542,5137
1543,12997
1544,8152
1545,1128
1546,1225
1547,22840
1548,620
1549,9
1550,367
1551,41
1552,34660
1553,122
1554,18
1555,21
1556,130
1557,322
1558,35
1559,216
1560,13022
1561,138
1562,61
1563,476
1564,395
1565,682
1566,3836
1567,30
1568,51
1569,50
1570,761
1571,41
1572,29946
1573,1426
1574,190
1575,26
1576,32
1577,28
1578,1397
1579,43
1580,7838
1581,351
1582,195
1583,20447
1584,88804
1585,9333
1586,1063
1587,96
1588,743
1589,95
1590,294
1591,6
1592,19
1593,79
1594,14
1595,97
1596,160
1597,120
1598,2150
1599,655
1600,7
1601,1774
1602,4575
1603,394
1604,49
1605,184
1606,494
1607,346
1608,1057
1609,145
1610,1346
1611,39699
1612,5860
1613,9801
1614,67
1615,219
1616,333
1617,22
1618,250
1619,142
1620,36894
1621,75
1622,97523
1623,3430
1624,43239
1625,51936
1626,83
1627,15
1628,8
1629,2198
1630,66
1631,50
1632,30857
1633,413
1634,65
1635,51
1636,2561
1637,14009
1638,16998
1639,10
1640,47
1641,105
1642,7
1643,452
1644,2980
1645,8
1646,27
1647,352
1648,520
1649,7032
1650,233
1651,22
1652,111
1653,12630
1654,63
1655,114
1656,22781
1657,2529
1658,756
1659,460
1660,1324
1661,11530
1662,22
1663,60
1664,69
1665,291
1666,47
1667,10
1668,477
1669,51
1670,82451
1671,1164
1672,1252
1673,107
1674,608
1675,111
1676,41
1677,33
1678,612
